18 practice 1 - 0 ќто - 781
18 practice 1 - 1 предложение - 828
18 practice 1 - 2 служит - 781
18 practice 1 - 3 длЯ - 734
18 practice 1 - 4 практики - 656
18 practice 1 - 5 и - 594
18 practice 1 - 6 позволит - 797
18 practice 1 - 7 ‚ам - 562
18 practice 1 - 8 ознакомитьсЯ - 703
18 practice 1 - 9 с - 547
18 practice 1 - 10 экспериментом. - 891
18 practice 2 - 0 ќто - 547
18 practice 2 - 1 предложение - 562
18 practice 2 - 2 тоже - 641
18 practice 2 - 3 ЯвлЯетсЯ - 593
18 practice 2 - 4 частью - 688
18 practice 2 - 5 практики - 671
18 practice 2 - 6 и - 532
18 practice 2 - 7 после - 578
18 practice 2 - 8 него - 500
18 practice 2 - 9 ‚ы - 515
18 practice 2 - 10 увидите - 610
18 practice 2 - 11 предложение-вопрос. - 1203
18 practice 2 - ? Y 1 3500
18 practice 3 - 0 ‘ейчас - 750
18 practice 3 - 1 ‚ы - 516
18 practice 3 - 2 увидите - 609
18 practice 3 - 3 что - 516
18 practice 3 - 4 произойдет, - 4281
18 practice 3 - 5 если - 672
18 practice 3 - 6 ‚ы - 437
18 practice 3 - 7 неправильно - 610
18 practice 3 - 8 ответите - 609
18 practice 3 - 9 на - 547
18 practice 3 - 10 вопрос. - 859
18 practice 3 - ? N 0 2235
18 practice 4 - 0 Њолодой - 578
18 practice 4 - 1 человек - 828
18 practice 4 - 2 провел - 500
18 practice 4 - 3 весь - 656
18 practice 4 - 4 вечер - 719
18 practice 4 - 5 в - 562
18 practice 4 - 6 баре - 672
18 practice 4 - 7 со - 563
18 practice 4 - 8 своим - 500
18 practice 4 - 9 старым - 547
18 practice 4 - 10 другом - 531
18 practice 4 - 11 из - 578
18 practice 4 - 12 Ђнглии. - 1172
18 practice 4 - ? N 1 3219
18 practice 5 - 0 Њестный - 563
18 practice 5 - 1 хулиган - 750
18 practice 5 - 2 разбил - 1062
18 practice 5 - 3 вчера - 907
18 practice 5 - 4 витрину - 1125
18 practice 5 - 5 магазина - 765
18 practice 5 - 6 и - 1094
18 practice 5 - 7 пару - 1328
18 practice 5 - 8 фонарей - 610
18 practice 5 - 9 на - 484
18 practice 5 - 10 улице. - 1328
18 practice 5 - ? Y 1 2625
18 filler 25 - 0 Љогда - 547
18 filler 25 - 1 несколько - 531
18 filler 25 - 2 старшеклассников - 1109
18 filler 25 - 3 сорвали - 610
18 filler 25 - 4 уроки, - 781
18 filler 25 - 5 заместитель - 828
18 filler 25 - 6 директора - 500
18 filler 25 - 7 позвонил - 859
18 filler 25 - 8 родителЯм. - 1016
18 filler 25 - ? Y 1 8219
18 OldRC_Rerun 17 Ord1_Subj_Nonloc 0 •улиган, - 1094
18 OldRC_Rerun 17 Ord1_Subj_Nonloc 1 который - 485
18 OldRC_Rerun 17 Ord1_Subj_Nonloc 2 одноклассника - 2312
18 OldRC_Rerun 17 Ord1_Subj_Nonloc 3 спровоцировал - 2500
18 OldRC_Rerun 17 Ord1_Subj_Nonloc 4 после - 640
18 OldRC_Rerun 17 Ord1_Subj_Nonloc 5 второй - 954
18 OldRC_Rerun 17 Ord1_Subj_Nonloc 6 пары, - 1312
18 OldRC_Rerun 17 Ord1_Subj_Nonloc 7 объЯснил - 2141
18 OldRC_Rerun 17 Ord1_Subj_Nonloc 8 ситуацию - 2109
18 OldRC_Rerun 17 Ord1_Subj_Nonloc 9 после - 1719
18 OldRC_Rerun 17 Ord1_Subj_Nonloc 10 драки. - 2156
18 OldRC_Rerun 17 Ord1_Subj_Nonloc ? Y 1 4500
18 filler 52 - 0 Ћсенью - 1172
18 filler 52 - 1 старшеклассники - 1484
18 filler 52 - 2 поехали - 641
18 filler 52 - 3 на - 2187
18 filler 52 - 4 природу - 1766
18 filler 52 - 5 и - 453
18 filler 52 - 6 устроили - 781
18 filler 52 - 7 пикник, - 922
18 filler 52 - 8 а - 468
18 filler 52 - 9 их - 782
18 filler 52 - 10 класснаЯ - 593
18 filler 52 - 11 руководительница - 672
18 filler 52 - 12 играла - 938
18 filler 52 - 13 им - 1359
18 filler 52 - 14 на - 891
